Taylor N, bytes, block size, Base, Vectorized, Strided, Consecutive, Strided vectorized
2, 268435456, 512, 264, 220, 254, 10540, 247
2, 268435456, 576, 288, 226, 265, 10524, 234
2, 268435456, 640, 289, 230, 283, 10226, 246
2, 268435456, 704, 281, 227, 266, 9950, 233
2, 268435456, 768, 269, 222, 254, 9500, 231
2, 268435456, 832, 312, 230, 259, 9443, 235
2, 268435456, 896, 314, 230, 259, 9578, 236
2, 268435456, 960, 307, 228, 251, 9689, 237
2, 268435456, 1024, 300, 227, 251, 9951, 241
2, 536870912, 256, 500, 427, 504, 23147, 480
2, 536870912, 320, 551, 434, 578, 22435, 501
2, 536870912, 384, 550, 435, 562, 22046, 509
2, 536870912, 448, 538, 431, 535, 22251, 477
2, 536870912, 512, 516, 429, 509, 22105, 481
2, 536870912, 576, 566, 437, 534, 22028, 461
2, 536870912, 640, 567, 444, 569, 22189, 495
2, 536870912, 704, 547, 439, 536, 22120, 461
2, 536870912, 768, 526, 432, 508, 21980, 454
2, 536870912, 832, 608, 447, 518, 21720, 465
2, 536870912, 896, 613, 445, 516, 21703, 470
2, 536870912, 960, 600, 441, 504, 21709, 471
2, 536870912, 1024, 590, 439, 498, 21784, 465
4, 8388608, 256, 24, 26, 55, 56, 56
4, 8388608, 320, 24, 27, 25, 26, 27
4, 8388608, 384, 25, 27, 25, 26, 27
4, 8388608, 448, 24, 27, 24, 25, 27
4, 8388608, 512, 24, 26, 24, 25, 27
4, 8388608, 576, 25, 28, 25, 26, 28
4, 8388608, 640, 25, 27, 25, 25, 28
4, 8388608, 704, 25, 28, 24, 25, 29
4, 8388608, 768, 24, 28, 24, 25, 29
4, 8388608, 832, 25, 27, 25, 26, 30
4, 8388608, 896, 26, 28, 25, 26, 31
4, 8388608, 960, 25, 28, 25, 26, 31
4, 8388608, 1024, 25, 28, 25, 26, 31
4, 16777216, 256, 34, 36, 56, 160, 56
4, 16777216, 320, 36, 38, 38, 113, 37
4, 16777216, 384, 36, 38, 37, 95, 37
4, 16777216, 448, 35, 38, 35, 71, 37
4, 16777216, 512, 34, 37, 37, 55, 36
4, 16777216, 576, 36, 38, 35, 48, 39
4, 16777216, 640, 36, 39, 36, 38, 39
4, 16777216, 704, 36, 38, 35, 37, 38
4, 16777216, 768, 35, 38, 34, 37, 38
4, 16777216, 832, 38, 38, 34, 36, 39
4, 16777216, 896, 38, 39, 35, 37, 40
4, 16777216, 960, 37, 37, 35, 37, 39
4, 16777216, 1024, 36, 37, 34, 37, 39
4, 33554432, 256, 55, 57, 58, 773, 58
4, 33554432, 320, 58, 60, 63, 538, 60
4, 33554432, 384, 58, 60, 61, 454, 59
4, 33554432, 448, 58, 59, 58, 360, 57
4, 33554432, 512, 57, 57, 77, 321, 54
4, 33554432, 576, 59, 60, 58, 269, 58
4, 33554432, 640, 60, 61, 59, 214, 59
4, 33554432, 704, 59, 60, 56, 151, 57
4, 33554432, 768, 56, 59, 54, 180, 56
